ques,options,ans
What pair do we wear on our hands?,,a pair of gloves
What pair do we wear on our face to see better?,,a pair of glasses
What pair do we wear inside our shoes?,,a pair of socks
What pair do we wear on our ears?,,a pair of earrings
What pair do we wear on our face when it's bright?,,a pair of sunglasses
What pair do we wear on our legs?,,a pair of pants
What pair do we wear on our feet?,,a pair of shoes
What pair do we sleep in?,,a pair of pajamas
What pair do we put on when we take our shoes off?,,a pair of slippers
What pair do we cut things with?,,a pair of scissors
